🕘️更新时间,#genre#
2026-03-07 17:39:57,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
内蒙古卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.38:10222
内蒙古卫视,http://116.2.164.201:4010/rtp/232.0.0.111:1234
内蒙古卫视,http://223.198.240.255:4000/rtp/239.253.64.144:5140
内蒙古卫视,http://231114.xyz:4022/rtp/239.3.1.43:8176
宁夏卫视,http://pr.19760929.xyz:9688/rtp/239.77.1.28:5146
宁夏卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.41:10240
宁夏卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.41:10240
宁夏卫视,http://116.2.164.201:4010/rtp/232.0.0.34:1234
宁夏卫视,http://223.198.240.255:4000/rtp/239.253.64.89:5140
青海卫视,http://www.410725.xyz:8092/hls/47/index.m3u8
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010
青海卫视,http://14.118.74.55:10001/rtp/239.253.43.125:5146
青海卫视,http://14.145.187.24:4022/rtp/239.253.43.125:5146
青海卫视,http://220.176.218.207:9000/rtp/239.252.219.46:5140
山东卫视,http://58.32.16.142:4022/udp/233.18.204.91:5140
山东卫视,http://60.4.29.183:8077/rtp/239.253.92.207:8109
山东卫视,http://115.171.80.124:1688/udp/225.1.8.50:8052
山东卫视,http://14.118.74.55:10001/rtp/239.77.0.94:5146
山东卫视,http://alist.guangyuan.site:8188/rtp/239.77.0.94:5146
山西卫视,http://www.410725.xyz:8092/hls/44/index.m3u8
山西卫视,http://115.171.80.124:1688/rtp/225.1.8.155:8172
山西卫视,http://220.176.218.207:9000/rtp/239.252.219.27:5140
山西卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.37:10216
山西卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.37:10216
陕西卫视,http://www.410725.xyz:8092/hls/28/index.m3u8
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
陕西卫视,http://220.176.218.207:9000/rtp/239.252.219.105:5140
陕西卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.36:10210
四川卫视,http://60.4.29.183:8077/rtp/239.253.92.16:6043
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860
四川卫视,http://115.171.80.124:1688/rtp/225.1.8.142:8288
四川卫视,http://121.29.215.252:2083/rtp/239.253.92.16:6043
四川卫视,http://14.145.187.24:4022/rtp/239.77.0.163:5146
深圳卫视,http://58.32.16.142:4022/udp/233.18.204.89:5140
深圳卫视,http://115.171.80.124:1688/udp/225.1.8.43:8020
深圳卫视,http://alist.guangyuan.site:8188/rtp/239.77.0.130:5146
深圳卫视,http://121.29.215.252:2083/rtp/239.253.92.86:8017
深圳卫视,http://220.176.218.207:9000/udp/239.252.219.212:5140
三沙卫视,http://115.171.80.124:1688/rtp/225.1.8.78:4120
三沙卫视,http://14.145.187.24:4022/rtp/239.253.43.113:5146
三沙卫视,http://220.176.218.207:9000/rtp/239.252.219.76:5140
